Carat app for iPhone,med
Add fav icon to website,low
Dad comp plan,high
Organize all photos on main comp,high
Gist for best practice code snippets?,low
Consider downsizing TT server,med
Music Organization,med
Fix Digital Ocean,med
Update personal website bugs EDIT,high
Fix Family Home Movies,high
Check AAA credit,med
Download music for offline phone,high
Clean garage,med
Trade in books,high
Finish up AC work,high
Investment manager,med
Try Garage Band piano tutorial,med
Second shower sealent coat,low
Org CDs,med
Backup computer data,med
Empty 100GB hard drive,low
Organize old hard drives,low
Install Garage Utility Sink,med
Run for outlets to the garage,med
Build garage workbench,med
Caulk kitchen cabinets,low
Make square foot gardening template,med
Replace 3 gardenias,low
Connect manifest to water line,med
Build raised beds,med
Install threshold,low
lawn mower maintenance,low
TT: finish table fields,low
TT: finish search fields,low
TT: complete 2 other table screens,low
Tweet about the extra lane,med
Add a powered by Bluemix text,low
Clean water jugs,high
Finish dev works article,high
OpenStack votin,med
Personal website,high
Put in insurance card,low
Fix doorbell,low
Write up automatic determination of distributed apps on a PaaS platform,med
Deposit insurance checks,low
Get swarm running in lightning,med
Organize ibmToSort,med
Export pictures,high
Open windows,low
Make devworks update,high
Personal website project screenshots,high
Call about B/S,low
Use audible credit,med
Investigate UCD code,med
Fill Twitter buffer,med
Pay prop tax,low
Make C3 website changes,med
Clean room,low
Baby sign language research,low
Turn on TT server,low
Enter all home video titles,high
Add google analytics to per website,med
Upload home videos to YouTube,high
Sync with Devworks,med
Update C3 Webpage,med
2014 Taxes,med
Stock graph and purchase viewer,low
Download books,med
thank you cards,low
Fix PDF with adobe,low
TT: Outline redesign changes,low
Check deposit,low
Use Amazon book credit,low
TT: Finish report pages,low
Back up Mongolab instances,low
Get devise and bootstrap signin,low
Close all tablet-track items,low
Add in personal website folder,low
Finish comments,low
Get sample app on android,med
Enjoy music strategy,high
Complete docker sample,med
Trash,low
Get example tutorial links for workshop,low
Move dentist appt,low
Investigate trello,med
Update car tags,low
Determine method to update data without overwritting,low
Trash,low
Make book PDF,med
Jfugue,med
Oil door hindges,low
Tea,low
Mow lawn,low
C3: Marketing,med
In and Out,low
Validate taxes,low
Pay state tax bill,low
Drop off package at UPS store,low
Organize thumb drive music,low
Submit reimbursement,low
Trash,low
Get stock y axis working,med
Org day slots,low
setup meeting monday,low
send welcome email to new team members,med
Post about book,low
Create CD,low
Empty Camera card,low
Submit reimbursement,low
Send testing class,low
Get TT on Android,med
Object store write up,med
Watch interview video,med
IBM: Get tempest tests running,med
Get picture,low
Change Contacts,med
Install print drivers,low
Respond to people,low
Backup iphone,med
Get phone number moved,high
Mail back iPhone,low
Mow lawn,low
Deposit check,low
Get production system working,med
Build demo data set,med
Setup Android Play Account,med
Find reward numbers,low
Costco receipt,low
Finish garden presentation,high
