Carat app for iPhone,personal
Add fav icon to website,work
Dad comp plan,personal
Organize all photos on main comp,personal
Gist for best practice code snippets?,work
Consider downsizing TT server,work
Music Organization,personal
Fix Digital Ocean,work
Update personal website bugs EDIT,personal
Fix Family Home Movies,personal
Check AAA credit,personal
Download music for offline phone,personal
Clean garage,personal
Trade in books,personal
Finish up AC work,personal
Investment manager,personal
Try Garage Band piano tutorial,personal
Second shower sealent coat,personal
Org CDs,personal
Backup computer data,personal
Empty 100GB hard drive,personal
Organize old hard drives,personal
Install Garage Utility Sink,personal
Run for outlets to the garage,personal
Build garage workbench,personal
Caulk kitchen cabinets,personal
Make square foot gardening template,personal
Replace 3 gardenias,personal
Connect manifest to water line,personal
Build raised beds,personal
Install threshold,personal
lawn mower maintenance,personal
TT: finish table fields,work
TT: finish search fields,work
TT: complete 2 other table screens,work
Tweet about the extra lane,work
Add a powered by Bluemix text,work
Clean water jugs,personal
Finish dev works article,work
OpenStack votin,work
Personal website,work
Put in insurance card,personal
Fix doorbell,personal
Write up automatic determination of distributed apps on a PaaS platform,work
Deposit insurance checks,personal
Get swarm running in lightning,work
Organize ibmToSort,work
Export pictures,personal
Open windows,personal
Make devworks update,work
Personal website project screenshots,work
Call about B/S,personal
Use audible credit,personal
Investigate UCD code,work
Fill Twitter buffer,work
Pay prop tax,personal
Make C3 website changes,work
Clean room,personal
Baby sign language research,personal
Turn on TT server,work
Enter all home video titles,personal
Add google analytics to per website,work
Upload home videos to YouTube,personal
Sync with Devworks,work
Update C3 Webpage,work
2014 Taxes,personal
Stock graph and purchase viewer,work
Download books,personal
thank you cards,personal
Fix PDF with adobe,work
TT: Outline redesign changes,work
Check deposit,personal
Use Amazon book credit,personal
TT: Finish report pages,work
Back up Mongolab instances,work
Get devise and bootstrap signin,work
Close all tablet-track items,work
Add in personal website folder,work
Finish comments,work
Get sample app on android,work
Enjoy music strategy,personal
Complete docker sample,work
Trash,personal
Get example tutorial links for workshop,work
Move dentist appt,personal
Investigate trello,work
Update car tags,personal
Determine method to update data without overwritting,work
Trash,personal
Make book PDF,personal
Jfugue,personal
Oil door hindges,personal
Tea,personal
Mow lawn,personal
C3: Marketing,work
In and Out,personal
Validate taxes,personal
Pay state tax bill,personal
Drop off package at UPS store,personal
Organize thumb drive music,personal
Submit reimbursement,work
Trash,personal
Get stock y axis working,work
Org day slots,personal
setup meeting monday,work
send welcome email to new team members,work
Post about book,work
Create CD,personal
Empty Camera card,personal
Submit reimbursement,work
Send testing class,work
Get TT on Android,work
Object store write up,work
Watch interview video,work
IBM: Get tempest tests running,work
Get picture,personal
Change Contacts,work
Install print drivers,personal
Respond to people,work
Backup iphone,personal
Get phone number moved,work
Mail back iPhone,personal
Mow lawn,personal
Deposit check,personal
Get production system working,work
Build demo data set,work
Setup Android Play Account,work
Find reward numbers,personal
Costco receipt,personal
Finish garden presentation,personal
